,material_id,formula_pretty,nsites,crystal_system,formation_energy_per_atom,volume,density,band_gap,A_ions,B_ions,C_ions,Tolerance_factor,Octahedral_factor
10103,mp-1518304,BaSrDyNbO6,10,Cubic,-3.43036959,153.654951,6.228574605,2.8763,Ba; Sr,Dy; Nb,O,0.9504996943798948,0.5542857142857144
10104,mp-1518454,BaSrDyNbO6,20,Triclinic,-3.454179357,302.0583937,6.336862976,3.0423,Ba; Sr,Dy; Nb,O,0.9504996943798948,0.5542857142857144
10105,mp-1518893,BaSrDySbO6,40,Orthorhombic,-3.084911953,598.6588198,6.714768785,3.4847,Ba; Sr,Dy; Sb,O,0.9593169457192262,0.54
10106,mp-1518907,BaSrDySbO6,20,Triclinic,-3.085056983,299.5308738,6.710252444,3.5497,Ba; Sr,Dy; Sb,O,0.9593169457192262,0.54
10107,mp-1519060,BaSrDySbO6,10,Cubic,-3.072949129,151.5093209,6.63301692,3.471,Ba; Sr,Dy; Sb,O,0.9593169457192262,0.54
10108,mp-1520831,BaSrDySeO6,10,Cubic,-2.66300207,146.1096604,6.391725326,0.0,Ba; Sr,Dy; Se,O,0.9642365197998374,0.5321428571428571
10109,mp-1516351,BaSrDyVO6,10,Cubic,-3.162198261,142.0704967,6.245962559,1.6307,Ba; Sr,Dy; V,O,0.9728538734575031,0.5185714285714286
10110,mp-1522319,BaSrDyWO6,20,Triclinic,-3.141914428,299.8968811,7.389541033,2.0345,Ba; Sr,Dy; W,O,0.925408203566287,0.5964285714285714
10111,mp-1522331,BaSrDyWO6,40,Orthorhombic,-3.138968535,603.323619,7.346307152,1.8686,Ba; Sr,Dy; W,O,0.925408203566287,0.5964285714285714
10112,mp-1522372,BaSrDyWO6,10,Cubic,-3.056912035,151.6780749,7.305275698,0.0,Ba; Sr,Dy; W,O,0.925408203566287,0.5964285714285714
10113,mp-1522203,BaSrEuBiO6,40,Orthorhombic,-2.593596611,656.881431,6.895011961,0.0,Ba; Sr,Eu; Bi,O,0.917811109372377,0.6096428571428572
10114,mp-1522406,BaSrEuBiO6,10,Cubic,-2.547237809,167.4107568,6.763611566,0.0,Ba; Sr,Eu; Bi,O,0.917811109372377,0.6096428571428572
10115,mp-1522436,BaSrEuBiO6,20,Triclinic,-2.601378554,331.1743845,6.838097292,0.0,Ba; Sr,Eu; Bi,O,0.917811109372377,0.6096428571428572
10116,mp-1520099,BaSrEuCrO6,20,Triclinic,-2.650758726,292.3727474,5.962407752,0.0,Ba; Sr,Eu; Cr,O,0.9379987913699098,0.575
10117,mp-1520342,BaSrEuCrO6,10,Cubic,-2.656265809,144.6359904,6.026320045,0.0,Ba; Sr,Eu; Cr,O,0.9379987913699098,0.575
10118,mp-1520360,BaSrEuCrO6,40,Orthorhombic,-2.678612069,579.2698073,6.01876885,0.0,Ba; Sr,Eu; Cr,O,0.9379987913699098,0.575
10119,mp-1516543,BaSrEuNbO6,40,Orthorhombic,-3.211580772,620.4821166,6.056940956,0.0,Ba; Sr,Eu; Nb,O,0.942916496453454,0.5667857142857143
10120,mp-1516635,BaSrEuNbO6,10,Cubic,-3.172259868,158.3820461,5.932212072,0.0,Ba; Sr,Eu; Nb,O,0.942916496453454,0.5667857142857143
10121,mp-1516637,BaSrEuNbO6,20,Triclinic,-3.215034643,310.5485721,6.050943205,0.0,Ba; Sr,Eu; Nb,O,0.942916496453454,0.5667857142857143
10122,mp-1519221,BaSrEuSbO6,20,Triclinic,-2.844142136,312.5112868,6.319569827,0.0,Ba; Sr,Eu; Sb,O,0.9515929767520825,0.5525
10123,mp-1519387,BaSrEuSbO6,10,Cubic,-2.82198588,157.0152856,6.288995656,0.0,Ba; Sr,Eu; Sb,O,0.9515929767520825,0.5525
10124,mp-1519465,BaSrEuSbO6,40,Orthorhombic,-2.843612346,620.5338461,6.365283413,0.0,Ba; Sr,Eu; Sb,O,0.9515929767520825,0.5525
10137,mp-1228112,BaLaCoIrO6,10,Triclinic,-2.256188091,131.8803598,7.849123952,0.0,Ba; La,Co; Ir,O,1.0149268973747212,0.4357142857142857
10138,mp-1227876,BaLaCoSbO6,10,Tetragonal,-2.516298384,135.7140175,6.765319506,0.0,Ba; La,Co; Sb,O,1.0074089203571306,0.44642857142857145
10139,mp-1229299,BaLaCrMoO6,10,Cubic,-2.724911493,132.7231067,6.507941799,0.0,Ba; La,Cr; Mo,O,0.9855087264363234,0.47857142857142854
10140,mp-41057,BaLaCuRuO6,10,Tetragonal,-2.265351497,130.8160329,6.814546044,0.0,Ba; La,Cu; Ru,O,0.9963384926608984,0.4625
10141,mp-1520390,BaLaEuSbO6,20,Triclinic,-3.002975985,320.0033311,6.703867564,0.2517,Ba; La,Eu; Sb,O,0.8927803342333432,0.6321428571428572
10142,mp-1520679,BaLaEuSbO6,10,Cubic,-2.922752303,161.1091252,6.657785363,1.0398,Ba; La,Eu; Sb,O,0.8927803342333432,0.6321428571428572
10143,mp-1521896,BaLaEuWO6,10,Cubic,-2.919986537,163.8858671,7.173994085,0.0,Ba; La,Eu; W,O,0.888890223844527,0.6392857142857143
10144,mp-1522003,BaLaEuWO6,40,Orthorhombic,-1.315882185,1161.621115,4.048536054,0.0,Ba; La,Eu; W,O,0.888890223844527,0.6392857142857143
10145,mp-41414,BaLaMgBiO6,10,Cubic,-2.621314345,142.7398699,7.044143319,1.4504,Ba; La,Mg; Bi,O,0.9532724596837335,0.5285714285714286
10146,mp-39288,BaLaMgNbO6,10,Cubic,-3.313065879,134.7839273,6.02990781,2.7929,Ba; La,Mg; Nb,O,0.9807707037130717,0.4857142857142857
10147,mp-39249,BaLaMgRuO6,10,Tetragonal,-2.756379858,130.7617999,6.319052404,0.3009,Ba; La,Mg; Ru,O,0.9987775097787952,0.4589285714285714
10148,mp-40251,BaLaMgTaO6,10,Cubic,-3.434776797,134.114341,7.150100419,2.9706,Ba; La,Mg; Ta,O,0.9807707037130717,0.4857142857142857
10149,mp-1227886,BaLaMnInO6,10,Cubic,-2.597467044,133.4259531,6.745217882,0.7082,Ba; La,Mn; In,O,0.9878949461129247,0.47500000000000003
10150,mp-1521556,BaLaMnInO6,10,Cubic,-2.263858969,150.9162344,5.963487814,0.0,Ba; La,Mn; In,O,0.9878949461129247,0.47500000000000003
10151,mp-697820,BaLaMnInO6,40,Orthorhombic,-2.632436916,545.4352753,6.600138756,0.0,Ba; La,Mn; In,O,0.9878949461129247,0.47500000000000003
10152,mp-40356,BaLaMnMoO6,10,Cubic,-2.64422827,138.728233,6.261446927,0.3824,Ba; La,Mn; Mo,O,1.0000015018250927,0.4571428571428572
