material_id,formula_pretty,nsites,crystal_system,formation_energy_per_atom,volume,density,band_gap
mp-1112309,CsK2ScCl6,10,Cubic,-2.313783584,376.7656292,2.066061077,4.0703
mp-1110639,CsK2ScF6,10,Cubic,-3.441292584,223.0301933,2.755141749,5.6381
mp-1112268,CsK2TaF6,10,Cubic,-2.832147025,236.898231,3.547091799,0
mp-1112052,CsK2TiF6,10,Cubic,-3.180844952,216.1729718,2.864899191,0
mp-1111971,CsK2TlF6,10,Cubic,-2.580936002,244.2299199,3.599948782,3.584
mp-1112254,CsK2VF6,10,Cubic,-2.958520357,210.9676697,2.959785735,0
mp-1112240,CsK2YF6,10,Cubic,-3.432307082,247.1216676,2.78187013,5.2336
mp-560667,CsLi(PO3)2,80,Orthorhombic,-2.698358691,1280.680399,3.088936494,5.2843
mp-6257,CsNb(BO3)2,20,Orthorhombic,-2.897896279,309.9472561,3.679847493,3.2987
mp-18698,CsPr(CO3)2,40,Triclinic,-2.536249298,627.387979,4.16948759,4.6025
mp-568508,CsRb(MnCl3)2,80,Hexagonal,-1.839611867,2176.306826,3.302098378,1.4203
mp-1111785,CsRb2AlBr6,10,Cubic,-1.774672219,410.8983699,3.274401204,3.3324
mp-1111710,CsRb2AlCl6,10,Cubic,-2.120574464,347.7763591,2.595260894,4.4662
mp-1111045,CsRb2AlF6,10,Cubic,-3.354795068,200.5659644,3.682725443,5.8323
mp-1111837,CsRb2AlI6,10,Cubic,-1.300768406,518.5162556,3.497909269,2.1135
mp-1112138,Cs2NaTlBr6,10,Cubic,-1.571439963,379.3188384,4.257773072,1.0093
mp-1112527,Cs2NaTlCl6,10,Cubic,-1.834518852,322.008732,3.640205023,1.9178
mp-13800,Cs2NaTlF6,10,Cubic,-2.718130387,193.4965658,5.210618568,3.6228
mp-1112139,Cs2NaTlI6,10,Cubic,-1.177875455,475.9611889,4.377101083,0.0817
mp-1112567,Cs2NaTmCl6,10,Cubic,-2.500336801,319.2873189,3.48686947,5.4487
mp-1214014,Cs2NaUBr6,40,Cubic,-1.886015627,1596.347343,4.186866712,0.1882
mp-23108,Cs2NaUCl6,10,Cubic,-2.241433994,340.1955329,3.609828861,0.5004
